CCN(CC)C(=O)CCN,1,9.44
CCN(CC)C(=O)CN,1,8.45
CCN(CC)C(S)=S,1,3.28
OC(=O)c1cc(cc(c1)[N+]([O-])=O)[N+]([O-])=O,1,2.68
CCCN,1,10.65
CCCNc1ccccc1,1,5.10
CCCOCC(O)=O,1,3.59
CCCON=C(CCC)C=NO,1,10.81
CCCSCC(O)=O,1,3.70
CCCSCCN,1,9.45
CCC[N+]([O-])=O,1,9.00
CCC[S](O)(=O)=O,1,1.53
OC(=O)c1ccccc1c2ccccc2C(O)=O,1,3.27
CCCCOC(=O)CN,1,7.78
CCCCO[P](O)(O)=O,1,6.72
CCCCO[P]([O-])(=O)OCCCC,1,1.00
CCCCSCC(O)=O,1,3.72
CCCC[S](CCCC)[P](O)(O)=S,1,0.08
CCCC[Se]CC(O)=O,1,3.82
CCCCn1ccnc1,1,7.22
OC(=O)c1cccc(c1)C#N,1,3.60
OC(=O)c1cccc(c1)[N+]([O-])=O,1,3.36
OC(=O)c1cccc[n+]1[O-],1,3.31
OC(=O)c1ccccc1Br,1,2.85
OC(=O)c1ccccc1F,1,3.47
OC(=O)c1ccccc1I,1,2.86
OC(=O)c1ccccc1Oc2ccccc2,1,3.53
OC(=O)c1ccccc1[N+]([O-])=O,1,2.19
CCOC(=O)CNC(=O)CN,1,7.73
CCOC(=O)CNC(=O)CNC(=O)[C@H](Cc1c[nH]cn1)NC(=O)CNC(=O)CNC(=O)OCc2ccccc2,1,6.08
CCOC(=O)CSCC(O)=O,1,3.66
CCOC(=O)\C=C/C([O-])=O,1,3.08
CCOC(=O)\C=C\C([O-])=O,1,3.40
OC(=O)Cc1cccc(I)c1,1,4.16
OC(=O)Cc1cccc(c1)[N+]([O-])=O,1,3.97
OC(=O)Cc1ccccc1Br,1,4.05
CCOC(=O)C(N)C(C)C,1,7.75
CCOC(=O)C(N)CC(C)C,1,7.65
CCOC(=O)C(N)Cc1ccccc1,1,7.12
CCOC(=O)CCC(N)C(=O)OCC,1,7.04
CCOC(=O)CCCCN,1,10.15
CCOC(=O)CCCN,1,9.71
CCOC(=O)CCN,1,9.18
CCOC(=O)CN,1,7.71
CCN(CC)c1ccc(C)cc1,1,7.24
CCN(CCO)c1ccccc1C(O)=O,1,8.99
CCN1C=C(C(O)=O)C(=O)c2ccc(C)nc12,1,5.94
CCN1CCCCC1,1,10.61
CCNC(=O)CN,1,8.19
CCNc1ccccc1,1,5.25
CCNc1scnn1,1,3.01
CCOC(=O)C(C)N,1,7.91
OC(=O)c1ccc(Br)cc1,1,4.00
OC(=O)c1ccc(F)c(F)c1,1,3.79
OC(=O)c1ccc(F)cc1,1,4.04
OC(=O)c1ccc(F)cc1F,1,3.44
OC(=O)c1ccc(I)cc1,1,4.00
OC(=O)c1ccc(Oc2ccccc2)cc1,1,4.52
OC(=O)c1ccc(cc1)C#N,1,3.55
OC(=O)c1ccc(cc1)[N+]([O-])=O,1,3.36
CCS,1,10.61
CCSCC(O)=O,1,3.62
CCSCCN,1,9.44
CCSCCSCC(O)=O,1,3.61
CCSCCc1ccccn1,1,5.33
CCSCc1ccccn1,1,4.72
OC(=O)CSCCc1ccccc1,1,3.80
OC(=O)CSCc1ccccc1,1,3.67
CCOc1cc(O)cc(OCC)c1,1,9.37
CCOc1ccc(N)cc1,1,5.25
CCOc1ccc([Se]CC(O)=O)cc1,1,3.75
CCOc1cccc(N)c1,1,4.17
CCOc1cccc(O)c1,1,9.65
CCOc1ccccc1N,1,4.48
CCOc1ccccc1S,1,7.06
CCOc1ccccc1[Se]CC(O)=O,1,3.79
OC(=O)c1cc(F)cc(F)c1,1,3.52
OC(=O)c1cc(F)ccc1F,1,3.11
CCOC(=O)c1cc(C)nc(C)c1,1,5.27
CCOC(C)n1cnc2c(N)ncnc12,1,3.70
CCOCC(O)=O,1,3.58
CCOC[P](O)(O)=O,1,7.02
CCON=C(C)C=NO,1,10.46
CCON=C(CC)C=NO,1,10.67
