SMILES,pKa_num,pKa_value
CC(C(O)=O)C(=O)C(O)=O,2,"[1.7, 4.18]"
Cc1ccc(S)c(S)c1,2,"[5.34, 11.0]"
Cc1ccc(cc1)[S](=O)(=O)NCCN(CC(O)=O)CC(O)=O,2,"[2.15, 7.86]"
C[C@H](N)C(=O)N[C@H](Cc1ccccc1)C(O)=O,2,"[2.99, 8.13]"
C[C@H](N)C(O)=O,2,"[2.33, 9.71]"
CC(C(O)=O)C(O)=O,2,"[2.87, 5.38]"
CC(C)(C(O)=O)C(O)=O,2,"[2.97, 5.73]"
CC(C)(C)NCCN,2,"[6.26, 9.78]"
CC(C)(C)[P](O)(O)=O,2,"[2.63, 8.44]"
CC(=O)NCCN(CC(O)=O)CC(O)=O,2,"[1.9, 8.17]"
CC(=O)N[C@@H](C(O)=O)C(C)(C)S,2,"[3.29, 10.1]"
CC(=O)N[C@@H](CC(O)=O)C(O)=O,2,"[3.04, 4.49]"
Oc1cccc(ON=O)c1,2,"[4.1, 9.02]"
CC(=O)N[C@@H](CCC(O)=O)C(O)=O,2,"[3.29, 4.6]"
CC(=O)N[C@@H](CS)C(O)=O,2,"[3.11, 9.58]"
CC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O,2,"[2.84, 7.02]"
CC(=O)NCC(=O)N(CC(O)=O)C(=O)[C@@H](N)Cc1cncn1Cc2ccccc2,2,"[3.18, 6.25]"
CC(=O)NCC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O,2,"[3.04, 7.09]"
CC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)NCC(O)=O,2,"[3.17, 6.78]"
CC(=O)NCC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(O)=O,2,"[2.96, 7.06]"
CC(=O)NCC(=O)N[C@@H](Cc1c[nH]cn1)C(=O)NCC(O)=O,2,"[3.13, 6.74]"
OC(=O)CCSCC(O)=O,2,"[3.27, 4.34]"
OC(=O)CCSCCC(O)=O,2,"[3.925, 4.7]"
OC(=O)CC[Se]CCC(O)=O,2,"[3.94, 4.7]"
OC(=O)CC[Te]CCC(O)=O,2,"[3.92, 4.77]"
OC(=O)CCc1c[nH]cn1,2,"[3.83, 7.44]"
