Ligand,Name
"DL-1,3-Thiazolidine-4-carboxylic acid (DL-Thiaproline)",DL-Thiaproline
"L-1,4-Perhydrothiazine-3-carboxylic acid","L-1,4-Perhydrothiazine-3-carboxylic acid"
DL-Benzylpenicilloic acid,DL-Benzylpenicilloic acid
L-N-Acetyltryptophan,L-N-Acetyltryptophan
L-2-(2-Pyridylmethylamino)-5-thiahexanoic acid,L-2-(2-Pyridylmethylamino)-5-thiahexanoic acid
DL-[1-Carboxy-2-(2-mercapto-4-imidazolyl)ethyl](trimethyl)ammonium (chloride) (Ergothioneine),Ergothioneine
N-(2-Aminoethyl)glycine (Ethylenediamine monoacetic acid) (EDMA),EDMA
N-[Tris(hydroxymethyl)methyl]glycine (Tricine),Tricine
1-Carboxymethyl-2-ketopiperazine,1-Carboxymethyl-2-ketopiperazine
4-Carboxymethyl-2-ketopiperazine,4-Carboxymethyl-2-ketopiperazine
"1,4-Bis(carboxymethyl)-2-ketopiperazine","1,4-Bis(carboxymethyl)-2-ketopiperazine"
"1,2,3-Triazole-4-carboxylic acid","1,2,3-Triazole-4-carboxylic acid"
"1-Phenyl-1,2,3-triazole-4-carboxylic acid","1-Phenyl-1,2,3-triazole-4-carboxylic acid"
"5-Methyl-1-phenyl-1,2,3-triazole-4-carboxylic acid","5-Methyl-1-phenyl-1,2,3-triazole-4-carboxylic acid"
"1,2,3-Triazole-4,5-dicarboxylic acid","1,2,3-Triazole-4,5-dicarboxylic acid"
"1-Phenyl-1,2,3-triazole-4,5-dicarboxylic acid","1-Phenyl-1,2,3-triazole-4,5-dicarboxylic acid"
Diethylenetriamine-N(1)-acetic acid,Diethylenetriamine-N(1)-acetic acid
2-(Carboxymethylaminomethyl)azole-4-sulfonic acid (N-(4-Sulfonyl-2-pyrrylmethyl)glycine),N-(4-Sulfonyl-2-pyrrylmethyl)glycine
L-2-(Methylamino)-3-(4-imidazolyl)propanoic acid (N(alpha)-Methylhistidine),N(alpha)-Methylhistidine
L-2-(Benzylamino)-3-(4-imidazolyl)propanoic acid (N(alpha)-Benzyl-L-histidine),N(alpha)-Benzyl-L-histidine
"L-2-(Benzylamino)-3-(3-benzyl-5-imidazolyl)propanoic acid (N(alpha),N(3)-Dibenzyl-L-histidine)","N(alpha),N(3)-Dibenzyl-L-histidine"
"L-4,5,6,7-Tetrahydro-1H-imidazo[4,5-c]pyridine-6-carboxylic acid (Spinacine)",Spinacine
4-Imidazolylacetic acid,4-Imidazolylacetic acid
3-(4-Imidazolyl)propanoic acid,3-(4-Imidazolyl)propanoic acid
2-Hydroxy-3-(4-imidazolyl)propanoic acid,2-Hydroxy-3-(4-imidazolyl)propanoic acid
N-Acetyl-L-histidine,N-Acetyl-L-histidine
N-(2-Methyl-2-propoxycarbonyl)-L-histidine,N-(2-Methyl-2-propoxycarbonyl)-L-histidine
N-Acetylglycyl-L-histidine,N-Acetylglycyl-L-histidine
N-Acetylglycylglycyl-L-histidine,N-Acetylglycylglycyl-L-histidine
N-Acetylglycyl-L-histidylglycine,N-Acetylglycyl-L-histidylglycine
N-Acetylglycyl(N(3)-benzyl-L-histidyl)glycine,N-Acetylglycyl(N(3)-benzyl-L-histidyl)glycine
N-Acetylglycylglycylglycyl-L-histidine,N-Acetylglycylglycylglycyl-L-histidine
N-Acetylglycylglycyl-L-histidylglycine,N-Acetylglycylglycyl-L-histidylglycine
Ethylenediiminodiacetic acid (EDDA),EDDA
Ethylenediiminodi-3-propanoic acid (EDDP),EDDP
Ethylenediiminodi-2-propanoic acid,Ethylenediiminodi-2-propanoic acid
Ethylenediiminodi-2-butanoic acid,Ethylenediiminodi-2-butanoic acid
Ethylenediiminobis(dimethylacetic acid),dimethylacetic acid
"1,4-Diaminobutane-N,N'-diacetic acid","1,4-Diaminobutane-N,N'-diacetic acid"
Bis(carboxymethyliminomethyl)phosphinic acid,Bis(carboxymethyliminomethyl)phosphinic acid
