metal_ion,SMILES,pKa_num,pKa_value,predicted_positions
Cd2+,C=Cc1ccccn1,1,[1.1],[7]
Cd2+,C=Cc1ccncc1,1,[1.6],[5]
Cd2+,CC(=C/C(O)=O)/C(O)=O,1,[2.2],[7]
Cd2+,CC(=O)[C@H]1CC[C@@]2(O)[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3[C@H](O)C[C@]12C,1,[16.43],[7]
Cd2+,CC(C(O)=O)C(O)=O,1,[2.58],[6]
Cd2+,CC(C)(C(O)=O)C(O)=O,1,[2.54],[7]
Cd2+,CC(C)C(C(O)=O)C(O)=O,1,[2.63],[5]
Cd2+,CC(N)CN,1,[-12.3],[4]
Cd2+,CC(O)=S,1,[2.4],[2]
Cd2+,CC(O)Cc1ccccn1,1,[1.6],[9]
Cd2+,CC1=CN(C2CC(O)C(CO[P](O)(=O)O[P](O)(=O)O[P](O)(O)=O)O2)C(=O)NC1=O,1,[5.140000000000001],[20]
Cd2+,CCC(C(O)=O)C(O)=O,1,[2.59],[7]
Cd2+,CCC(CC)(C(O)=O)C(O)=O,1,[2.54],[9]
Cd2+,CCCCC(C(O)=O)C(O)=O,1,[2.61],[6]
Cd2+,CCCCCCCCCCCCCC1=C(C)C(=O)c2c(OC)cc(OC)c(O)c2O1,1,[7.02],[27]
Cd2+,CCCCO[P]([O-])(=O)O[P]([O-])([O-])=O,1,[4.51],[7]
Cd2+,CCCCO[P]([O-])([O-])=O,1,[2.61],[8]
Cd2+,CCCCSCC(O)=O,1,[0.91],[7]
Cd2+,CCCC[Se]CC(O)=O,1,[0.7],[7]
Cd2+,CCCc1ccccn1,1,[-1.1],[8]
Cd2+,CCOC[P](O)(O)=O,1,[3.01],[6]
Cd2+,CC[P](O)(O)=O,1,[2.94],[3]
Cd2+,CN(CCN1CCNCC1)CCN2CCNCC2,1,[3.48],[15]
Cd2+,CN1CCCN(C)CCN(C)CCCN(C)CC1,1,[9.0],[14]
Cd2+,CN1CCCN2CCN(C)CCN(C)CCN(C)CCN(CCC1)CCN(C)CC2,1,[14.22],[8]
Cd2+,CN1CCN(C)CCN(C)CCN(C)CC1,1,[13.06],[4]
Cd2+,CN1CCN(C)CCN(CCN(C)CCN(CCN(C)CC1)Cc2ccccn2)Cc3ccccn3,1,[10.12],[28]
Cd2+,CN1CCN(CC1)CCN(C)CCN2CCN(C)CC2,1,[3.09],[4]
Cd2+,CN1CCNCCN(C)CCN(C)CCN(C)CCNCC1,1,[16.75],[4]
Cd2+,CN1CCNCCNCCN(C)CCNCCNCC1,1,[16.91],[7]
Cd2+,CN1CCSCCN(C)CCSCC1,1,[6.59],[1]
